1531164782839	0	ROOM_CONFIG	LEFT_ROOM	TOY	RIGHT_ROOM	HARDWARE
1531164804542	115	DecisionBody	POSITION	7.020226	1.06867	-83.77378
1531164804683	116	DecisionBody	POSITION	7.020222	1.01365	-82.51488
1531164804831	117	DecisionBody	POSITION	7.020214	1.013001	-81.12395
1531164804978	118	DecisionBody	POSITION	7.02021	1.045761	-80.1796
1531164805114	119	DecisionBody	POSITION	7.02021	1.01336	-79.73898
1531164805267	120	DecisionBody	POSITION	7.02021	1.013001	-79.5089
1531164805718	123	DecisionBody	POSITION	7.020214	1.013001	-80.0067
1531164805867	124	DecisionBody	POSITION	7.020218	1.062954	-81.1785
1531164806014	125	DecisionBody	POSITION	7.020222	1.013088	-82.46592
1531164806167	126	DecisionBody	POSITION	7.020229	1.013001	-84.07666
1531164806314	127	DecisionBody	POSITION	7.020233	1.09041	-85.01154
1531164806442	128	DecisionBody	POSITION	7.020237	1.032263	-85.40977
1531164806578	129	DecisionBody	POSITION	7.020237	1.013001	-85.64541
1531164806714	130	DecisionBody	POSITION	7.020237	1.013001	-85.68645
1531164808219	141	DecisionBody	POSITION	7.020233	1.013001	-85.18865
1531164808367	142	DecisionBody	POSITION	7.020229	1.068432	-84.00668
1531164808514	143	DecisionBody	POSITION	7.020226	1.047699	-82.72659
1531164808667	144	DecisionBody	POSITION	7.020226	1.013001	-82.36135
1531164808814	145	DecisionBody	POSITION	7.020229	1.013001	-83.04794
1531164808946	146	DecisionBody	POSITION	7.020233	1.013001	-84.16516
1531164809078	147	DecisionBody	POSITION	7.020237	1.029341	-85.28717
1531164809218	148	DecisionBody	POSITION	7.020245	1.013002	-86.69552
1531164809367	149	DecisionBody	POSITION	7.020252	1.013001	-88.36939
1531164809519	150	DecisionBody	POSITION	7.020248	1.012964	-89.85916
1531164809666	151	DecisionBody	POSITION	7.020226	0.978449	-90.95479
1531164809794	152	DecisionBody	POSITION	7.020218	0.9054775	-91.34727
1531164809926	153	DecisionBody	POSITION	7.020229	0.8594816	-91.59902
1531164810066	154	DecisionBody	POSITION	7.020241	0.8398318	-91.70819
1531164810330	156	DecisionBody	POSITION	7.020721	0.9223814	-91.24958
1531164810466	157	DecisionBody	POSITION	7.020805	1.027281	-90.28261
1531164810598	158	DecisionBody	POSITION	7.020695	1.03956	-90.00103
1531164810730	159	DecisionBody	POSITION	7.020538	1.029043	-90.56839
1531164810866	160	DecisionBody	POSITION	7.020477	0.9429915	-91.11797
1531164810994	161	DecisionBody	POSITION	7.020458	0.9014363	-91.36598
1531164811126	162	DecisionBody	POSITION	7.020329	0.9513619	-91.05981
1531164811266	163	DecisionBody	POSITION	7.020058	1.039512	-90.15881
1531164811394	164	DecisionBody	POSITION	7.019913	1.032203	-89.13425
1531164811526	165	DecisionBody	POSITION	7.019848	1.028818	-88.28507
1531164811666	166	DecisionBody	POSITION	7.019814	1.013017	-87.88661
1531164811793	167	DecisionBody	POSITION	7.019802	1.013001	-87.71546
1531164811926	168	DecisionBody	POSITION	7.019798	1.013001	-87.69604
1531164812194	170	DecisionBody	POSITION	7.019798	1.013001	-87.31093
1531164812330	171	DecisionBody	POSITION	7.019794	1.013001	-86.33791
1531164812466	172	DecisionBody	POSITION	7.019791	1.013001	-85.58152
1531164812618	173	DecisionBody	POSITION	7.019791	1.013001	-85.21975
1531164812766	174	DecisionBody	POSITION	7.019791	1.013001	-85.06435
1531164812918	175	DecisionBody	POSITION	7.019791	1.013001	-84.56654
1531164813066	176	DecisionBody	POSITION	7.019787	1.019408	-83.37926
1531164813214	177	DecisionBody	POSITION	7.019783	1.013001	-82.57922
1531164813367	178	DecisionBody	POSITION	7.019783	1.013001	-82.16148
1531164813518	179	DecisionBody	POSITION	7.019783	1.013001	-82.01354
